artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Kaushik-Guddu,"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,123,9,5643061
Kunaal Vermaa,"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,123,9,5643061
Vishal Mishra,"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,123,9,5643061
Jaani,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,71,2686428
Mohammad Faiz,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,71,2686428
Talha Anjum,Departure Lane,Mass Appeal,124,9,1906748
Umair,Departure Lane,Mass Appeal,124,9,1906748
Yo Yo Honey Singh,Desi Kalakaar,T-Series,13,91,2036547
Ajay Gogavale,Deva Shree Ganesha,Sony Music Entertainment India Pvt. Ltd.,23,10,2216196
Ajay-Atul,Deva Shree Ganesha,Sony Music Entertainment India Pvt. Ltd.,23,10,2216196
Aanchal Tyagi,Dhak Dhak,Universal Music India Pvt Ltd.,185,1,1316187
Abhijeet Srivastava,Dhak Dhak,Universal Music India Pvt Ltd.,185,1,1316187
Raga,Dhak Dhak,Universal Music India Pvt Ltd.,185,1,1316187
Rusha & Blizza,Dhak Dhak,Universal Music India Pvt Ltd.,185,1,1316187
Altamash Faridi,"Dhoonde Akhiyaan - From ""Jabariya Jodi""",Zee Music Company,65,8,1303717
Rashmi Virag,"Dhoonde Akhiyaan - From ""Jabariya Jodi""",Zee Music Company,65,8,1303717
Yasser Desai,"Dhoonde Akhiyaan - From ""Jabariya Jodi""",Zee Music Company,65,8,1303717
Arijit Singh,"Dhun (From ""Saiyaara"")",YRF Music,5,16,9409254
Mithoon,"Dhun (From ""Saiyaara"")",YRF Music,5,16,9409254
Dropped Out,Dhundhala,Universal Music India Pvt. Ltd. (on behalf of Yashraj),39,19,2081694
Talwiinder,Dhundhala,Universal Music India Pvt. Ltd. (on behalf of Yashraj),39,19,2081694
Yashraj,Dhundhala,Universal Music India Pvt. Ltd. (on behalf of Yashraj),39,19,2081694
Babu Singh Maan,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Charanjit Ahuja,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Hanumankind,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Jasmine Sandlas,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Muhammad Sadiq,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Ranjit Kaur,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Shashwat Sachdev,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Sudhir Yaduvanshi,"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Bruno Mars,Die With A Smile,Interscope,4,58,5480132
Lady Gaga,Die With A Smile,Interscope,4,58,5480132
Atif Aslam,Dil Diyan Gallan,YRF Music,53,299,2631003
KK,Dil Ibaadat,Sony Music Entertainment India Pvt. Ltd.,54,46,2093370
Pritam,Dil Ibaadat,Sony Music Entertainment India Pvt. Ltd.,54,46,2093370
Abhijeet,Dil Kaa Jo Haal Hai,T-Series,98,12,2602746
Shreya Ghoshal,Dil Kaa Jo Haal Hai,T-Series,98,12,2602746
AP Dhillon,Dil Nu,RUN-UP RECORDS,33,94,2282478
Shinda Kahlon,Dil Nu,RUN-UP RECORDS,33,94,2282478
Akashdeep Sengupta,"Dil Se Dil Tak (From ""Bawaal"")",T-Series,38,37,1319540
Kausar Munir,"Dil Se Dil Tak (From ""Bawaal"")",T-Series,38,37,1319540
Laqshay Kapoor,"Dil Se Dil Tak (From ""Bawaal"")",T-Series,38,37,1319540
