track_name,source,peak_rank,weeks_on_chart,streams
"Humdard (From ""Ek Villain"")",T-Series,24,277,4059722
Humnava Mere,T-Series,66,155,1582305
"Humsafar (From ""Badrinath Ki Dulhania"")",T-Series,70,94,2324418
"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
"Hungry Cheetah (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,181,1,1385812
Husn,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,101,2998411
I Am The Danger,Sun Pictures,138,1,1541134
I Really Do...,WM Canada,56,11,2561628
I Wanna Be Yours,Domino Recording Co,48,156,1639916
I'ma Do My Thiiing,WM Canada,191,1,1365007
Ilahi,T-Series,185,32,1708850
Illuminati,Think Music,3,44,1696465
Ishq,Artiste First,2,84,6922782
Ishq Bawla | Coke Studio Bharat,Universal Music India Pvt Ltd.,133,2,1489318
Ishq Bulaava,Sony Music Entertainment India Pvt. Ltd.,119,32,2777853
Ishq Di Baajiyaan,Sony Music Entertainment India Pvt. Ltd.,137,63,2383365
Ishq Hai,Netflix Music,2,47,8176320
"Ishq Mein (From ""Nadaaniyan"")",Sony Music Entertainment India Pvt. Ltd.,68,1,1861296
"Ishq Mein - From ""Nadaaniyan""",Sony Music Entertainment India Pvt. Ltd.,60,6,1961322
Ishq Sufiyana (Male),T-Series,79,50,2186098
Ishq Wala Love,Sony Music Entertainment India Pvt. Ltd.,100,85,1436310
Itna Na Mujhse Tu Pyar Badha,Saregama India Ltd,182,7,1574719
"Itni Si Baat Hain (From ""Azhar"")",T-Series,144,56,2746008
I’m Done. - I-Popstar: Vol. 1,Warner Music India,54,2,4834448
"Jaan Ban Gaye - From ""Khuda Haafiz""",Zee Music Company,72,71,1352175
"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,9,53,3696477
"Jaanam (From ""Bad Newz"")",Saregama India Ltd,7,28,1464288
Jaane Na Tu,EYP Creations,156,7,2286871
"Jaane Tu (From ""Chhaava"")",Sony Music Entertainment India Pvt. Ltd.,103,4,1974859
Jaat Intro (feat. Pranjal Dahiya),Sky Digital,104,8,1980758
Jab Se Tere Naina,Sony Music Entertainment India Pvt. Ltd.,190,3,1419752
"Jab Tu Sajan (From ""Aap Jaisa Koi"")",Netflix Music LLC / Sony Music Entertainment India Pvt. Ltd.,192,1,1347450
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,5,122,2101350
Jeena Jeena,Sony Music / EROS Music,29,215,2895801
Jeene Laga Hoon,Tips Music Limited,62,61,2468437
